epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5239,1.83371,2.91424,1.68962,0.73291,0.46066,0.5758,0.23473,1.74453,2.06074,1.66324,0.000331832,0.000331832,0.000331832
2,142.019,1.70676,2.06825,1.61188,0.38197,0.63181,0.52976,0.26459,1.74204,2.0191,1.5986,0.000643215,0.000643215,0.000643215
3,217.336,1.65867,1.96763,1.59304,0.57157,0.51397,0.52948,0.22626,1.7236,2.11295,1.63402,0.000932598,0.000932598,0.000932598
4,288.627,1.62301,1.90471,1.60159,0.4583,0.72412,0.65095,0.32998,1.57335,1.69077,1.44086,0.000901,0.000901,0.000901
5,364.773,1.58227,1.79944,1.54915,0.59248,0.68135,0.66624,0.36243,1.56,1.52397,1.54278,0.000868,0.000868,0.000868
6,441.405,1.58133,1.7609,1.55191,0.68927,0.51554,0.56018,0.30109,1.64369,1.94261,1.52768,0.000835,0.000835,0.000835
7,520.392,1.55072,1.69759,1.52364,0.76898,0.62342,0.72311,0.37288,1.54439,1.44066,1.50086,0.000802,0.000802,0.000802
8,601.182,1.53898,1.67654,1.5135,0.77976,0.56231,0.66649,0.34176,1.57089,1.63831,1.41527,0.000769,0.000769,0.000769
9,668.343,1.51847,1.64666,1.49449,0.75791,0.62007,0.6819,0.36749,1.63321,1.38737,1.49476,0.000736,0.000736,0.000736
10,746.381,1.48372,1.60366,1.48723,0.53285,0.78684,0.69782,0.41108,1.54141,1.38772,1.46422,0.000703,0.000703,0.000703
11,823.675,1.47095,1.55641,1.47199,0.77381,0.60205,0.71343,0.39891,1.50557,1.36449,1.36624,0.00067,0.00067,0.00067
12,900.458,1.46861,1.55333,1.46263,0.51185,0.77949,0.73467,0.41572,1.48113,1.29767,1.40257,0.000637,0.000637,0.000637
13,975.551,1.43414,1.52757,1.45099,0.66156,0.65532,0.7063,0.39257,1.43775,1.33921,1.40181,0.000604,0.000604,0.000604
14,1046.02,1.42152,1.49013,1.45361,0.6775,0.72,0.69581,0.41344,1.43301,1.31769,1.34887,0.000571,0.000571,0.000571
15,1119,1.43389,1.48346,1.44761,0.66614,0.72684,0.71308,0.42205,1.41331,1.29267,1.3468,0.000538,0.000538,0.000538
16,1192.47,1.40873,1.44877,1.43117,0.59214,0.8086,0.77307,0.44472,1.45035,1.27756,1.37727,0.000505,0.000505,0.000505
17,1264.78,1.4061,1.41565,1.42552,0.89833,0.65818,0.74296,0.46228,1.41959,1.31271,1.35827,0.000472,0.000472,0.000472
18,1339.56,1.39597,1.44267,1.42332,0.49574,0.68352,0.62189,0.36319,1.53151,1.40946,1.40112,0.000439,0.000439,0.000439
19,1420.97,1.37856,1.38709,1.4148,0.55308,0.83591,0.73417,0.40695,1.40555,1.336,1.34704,0.000406,0.000406,0.000406
20,1517.52,1.37941,1.36292,1.40976,0.7376,0.76045,0.74897,0.41906,1.44254,1.24958,1.33221,0.000373,0.000373,0.000373
21,1601.48,1.43832,1.46769,1.4842,0.66699,0.72319,0.69321,0.41024,1.34001,1.33968,1.29282,0.00034,0.00034,0.00034
22,1674.96,1.38452,1.37671,1.46286,0.65149,0.65319,0.71827,0.42193,1.45437,1.23377,1.36269,0.000307,0.000307,0.000307
23,1749.34,1.36246,1.3432,1.44735,0.64526,0.70755,0.71837,0.44178,1.38178,1.24629,1.34456,0.000274,0.000274,0.000274
24,1829.94,1.35658,1.32654,1.44036,0.7596,0.75491,0.79567,0.4729,1.39794,1.18922,1.32011,0.000241,0.000241,0.000241
25,1907.38,1.34922,1.27983,1.4362,0.60607,0.76361,0.73539,0.42644,1.49828,1.18712,1.39171,0.000208,0.000208,0.000208
26,1990.34,1.34117,1.26932,1.41803,0.62815,0.68342,0.72766,0.44382,1.34175,1.17453,1.27341,0.000175,0.000175,0.000175
27,2065.48,1.30041,1.24185,1.40378,0.6912,0.70334,0.74944,0.45091,1.34926,1.17097,1.29955,0.000142,0.000142,0.000142
28,2144.47,1.31425,1.23174,1.40771,0.84724,0.67678,0.73423,0.43267,1.36614,1.16466,1.30932,0.000109,0.000109,0.000109
29,2228.2,1.27882,1.2016,1.38379,0.86895,0.66896,0.76734,0.46959,1.34513,1.12138,1.29019,7.6e-05,7.6e-05,7.6e-05
30,2291.53,1.27536,1.19516,1.38601,0.85593,0.6729,0.76823,0.45707,1.34852,1.13862,1.3046,4.3e-05,4.3e-05,4.3e-05
